Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR
MWI,Malawi,6773,93.4,61.1,9.4,3844,55.2,34.7,5.8,0.591
ZWE,Zimbabwe,5194,89.5,59.7,9.3,3118,54.9,35.8,5.9,0.613
SWZ,Eswatini,414,76.5,65.4,7.3,235,44.3,37.2,4.4,0.579
ZMB,Zambia,4730,74.8,43.9,7.9,2769,45.4,25.7,5.0,0.607
LSO,Lesotho,536,53.8,44.7,5.3,342,35.1,28.5,3.6,0.652
BWA,Botswana,502,50.4,39.7,5.3,331,33.9,26.2,3.7,0.673
GMB,The Republic of the Gambia,447,48.8,32.3,5.3,264,29.6,19.1,3.3,0.607
MOZ,Mozambique,5381,45.7,30.2,4.6,3090,26.8,17.3,2.8,0.586
UGA,Uganda,5164,38.2,20.5,4.1,3000,23.1,11.9,2.5,0.605
TCD,Chad,2348,38.1,23.2,3.8,1337,22.3,13.2,2.3,0.585
FJI,Fiji,192,38.0,41.0,3.8,114,22.9,24.4,2.5,0.603
SEN,Senegal,2280,37.8,25.1,4.2,1362,23.1,15.0,2.7,0.611
GNB,Guinea-Bissau,283,37.6,25.4,4.2,169,23.0,15.2,2.7,0.612
NAM,Namibia,453,37.2,29.2,3.8,293,24.5,18.9,2.6,0.659
COD,"Congo, Democratic Republic of",11215,36.2,20.4,4.0,6755,22.2,12.3,2.5,0.613
MDG,Madagascar,4071,35.9,25.6,3.8,2338,21.2,14.7,2.3,0.591
COM,Comoros,121,35.4,28.1,3.7,70,21.0,16.3,2.3,0.593
MLI,Mali,2042,34.7,16.8,3.9,1242,21.6,10.2,2.5,0.622
BDI,Burundi,1242,31.6,17.6,3.5,732,19.2,10.4,2.2,0.608
LBR,Liberia,561,31.3,20.0,3.6,345,19.6,12.3,2.3,0.626
GUY,Guyana,139,31.0,32.6,3.4,76,16.9,17.8,1.9,0.545
PRY,Paraguay,1121,30.9,32.5,3.1,593,16.5,17.2,1.7,0.534
RWA,Rwanda,1582,30.6,21.7,3.4,965,18.9,13.2,2.2,0.618
SLB,Solomon Islands,98,30.6,24.5,3.0,51,17.7,12.7,1.9,0.578
AGO,Angola,3361,30.5,17.6,3.5,2058,19.1,10.8,2.3,0.626
GHA,Ghana,3740,30.4,21.7,3.4,2324,19.2,13.5,2.2,0.632
COG,"Congo, Republic of",589,30.2,18.6,3.7,384,19.8,12.1,2.4,0.656
PNG,Papua New Guinea,1055,29.7,20.5,3.2,635,18.4,12.4,2.0,0.62
CIV,Côte d'Ivoire,2540,29.6,16.2,3.3,1542,18.6,9.8,2.1,0.628
BOL,Bolivia (Plurinational State of),1745,29.2,28.2,2.9,1014,17.2,16.4,1.8,0.589
