Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier
MWI,Malawi,6773,93.4,61.1,9.4,3844,55.2,34.7,5.8,0.591,Malawi,2023.0,0.517,4.536891345234797,4.01096295328305,Low
ZWE,Zimbabwe,5194,89.5,59.7,9.3,3118,54.9,35.8,5.9,0.613,Zimbabwe,2023.0,0.598,4.4942386252808095,4.005513348515485,Medium
SWZ,Eswatini,414,76.5,65.4,7.3,235,44.3,37.2,4.4,0.579,Eswatini,2023.0,0.695,4.33729074083249,3.7909846770510898,Medium
ZMB,Zambia,4730,74.8,43.9,7.9,2769,45.4,25.7,5.0,0.607,Zambia,2023.0,0.595,4.314817884980432,3.8155121050473024,Medium
LSO,Lesotho,536,53.8,44.7,5.3,342,35.1,28.5,3.6,0.652,Lesotho,2023.0,0.55,3.9852734671677386,3.55820113047182,Medium
BWA,Botswana,502,50.4,39.7,5.3,331,33.9,26.2,3.7,0.673,Botswana,2023.0,0.731,3.919991175077323,3.5234150143864045,High
GMB,The Republic of the Gambia,447,48.8,32.3,5.3,264,29.6,19.1,3.3,0.607,Gambia,2023.0,0.524,3.8877303128591016,3.3877743613300146,Low
MOZ,Mozambique,5381,45.7,30.2,4.6,3090,26.8,17.3,2.8,0.586,Mozambique,2023.0,0.493,3.822098297900159,3.288401887516811,Low
UGA,Uganda,5164,38.2,20.5,4.1,3000,23.1,11.9,2.5,0.605,Uganda,2023.0,0.582,3.6428355156125294,3.139832617527748,Medium
TCD,Chad,2348,38.1,23.2,3.8,1337,22.3,13.2,2.3,0.585,Chad,2023.0,0.416,3.6402142821326553,3.104586678466073,Low
FJI,Fiji,192,38.0,41.0,3.8,114,22.9,24.4,2.5,0.603,Fiji,2023.0,0.731,3.6375861597263857,3.131136910560194,High
SEN,Senegal,2280,37.8,25.1,4.2,1362,23.1,15.0,2.7,0.611,Senegal,2023.0,0.53,3.632309102625542,3.139832617527748,Low
GNB,Guinea-Bissau,283,37.6,25.4,4.2,169,23.0,15.2,2.7,0.612,Guinea-Bissau,2023.0,0.514,3.6270040503958487,3.1354942159291497,Low
NAM,Namibia,453,37.2,29.2,3.8,293,24.5,18.9,2.6,0.659,Namibia,2023.0,0.665,3.616308761279101,3.1986731175506815,Medium
COD,"Congo, Democratic Republic of",11215,36.2,20.4,4.0,6755,22.2,12.3,2.5,0.613,Democratic Republic of Congo,2023.0,0.522,3.5890591188317256,3.100092288878234,Low
MDG,Madagascar,4071,35.9,25.6,3.8,2338,21.2,14.7,2.3,0.591,Madagascar,2023.0,0.487,3.580737295494233,3.054001181677967,Low
COM,Comoros,121,35.4,28.1,3.7,70,21.0,16.3,2.3,0.593,Comoros,2023.0,0.603,3.5667118201397288,3.044522437723423,Medium
MLI,Mali,2042,34.7,16.8,3.9,1242,21.6,10.2,2.5,0.622,Mali,2023.0,0.419,3.5467396869528134,3.0726933146901194,Low
BDI,Burundi,1242,31.6,17.6,3.5,732,19.2,10.4,2.2,0.608,Burundi,2023.0,0.439,3.4531571205928664,2.954910279033736,Low
LBR,Liberia,561,31.3,20.0,3.6,345,19.6,12.3,2.3,0.626,Liberia,2023.0,0.51,3.4436180975461075,2.975529566236472,Low
GUY,Guyana,139,31.0,32.6,3.4,76,16.9,17.8,1.9,0.545,Guyana,2023.0,0.776,3.4339872044851463,2.8273136219290276,High
PRY,Paraguay,1121,30.9,32.5,3.1,593,16.5,17.2,1.7,0.534,Paraguay,2023.0,0.756,3.4307561839036995,2.803360380906535,High
RWA,Rwanda,1582,30.6,21.7,3.4,965,18.9,13.2,2.2,0.618,Rwanda,2023.0,0.578,3.4210000089583352,2.9391619220655967,Medium
SLB,Solomon Islands,98,30.6,24.5,3.0,51,17.7,12.7,1.9,0.578,Solomon Islands,2023.0,0.584,3.4210000089583352,2.8735646395797834,Medium
AGO,Angola,3361,30.5,17.6,3.5,2058,19.1,10.8,2.3,0.626,Angola,2023.0,0.616,3.417726683613366,2.9496883350525844,Medium
GHA,Ghana,3740,30.4,21.7,3.4,2324,19.2,13.5,2.2,0.632,Ghana,2023.0,0.628,3.414442608412176,2.954910279033736,Medium
COG,"Congo, Republic of",589,30.2,18.6,3.7,384,19.8,12.1,2.4,0.656,Congo,2023.0,0.649,3.407841924380824,2.9856819377004897,Medium
PNG,Papua New Guinea,1055,29.7,20.5,3.2,635,18.4,12.4,2.0,0.62,Papua New Guinea,2023.0,0.576,3.391147045808654,2.91235066461494,Medium
CIV,Côte d'Ivoire,2540,29.6,16.2,3.3,1542,18.6,9.8,2.1,0.628,Cote d'Ivoire,2023.0,0.582,3.3877743613300146,2.9231615807191558,Medium
BOL,Bolivia (Plurinational State of),1745,29.2,28.2,2.9,1014,17.2,16.4,1.8,0.589,Bolivia,2023.0,0.733,3.374168709274236,2.8449093838194073,High
