code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier,HPV_vax_coverage,GNI_per_capita,Screening_program,Screening_program_bin,logGNI,Smoking_prev_female,HIV_prev,Death_reg_pct
MWI,Malawi,6773,93.4,61.1,9.4,3844,55.2,34.7,5.8,0.591,Malawi,2023.0,0.517,4.536891345234797,4.01096295328305,Low,0.0,1633.6926,Yes,1.0,7.398598130426807,3.0,6.24509,
ZWE,Zimbabwe,5194,89.5,59.7,9.3,3118,54.9,35.8,5.9,0.613,Zimbabwe,2023.0,0.598,4.4942386252808095,4.005513348515485,Medium,39.0,3511.4631,Yes,1.0,8.163788067214089,1.2,9.78348,32.95
SWZ,Eswatini,414,76.5,65.4,7.3,235,44.3,37.2,4.4,0.579,Eswatini,2023.0,0.695,4.33729074083249,3.7909846770510898,Medium,42.0,9919.085,Yes,1.0,9.202215958121515,2.6,23.37995,44.46
ZMB,Zambia,4730,74.8,43.9,7.9,2769,45.4,25.7,5.0,0.607,Zambia,2023.0,0.595,4.314817884980432,3.8155121050473024,Medium,12.0,3446.6758,Yes,1.0,8.145165509294088,3.5,9.38553,29.125
LSO,Lesotho,536,53.8,44.7,5.3,342,35.1,28.5,3.6,0.652,Lesotho,2023.0,0.55,3.9852734671677386,3.55820113047182,Medium,69.0,3029.3857,No,0.0,8.016115138675103,6.9,17.12807,43.010000000000005
BWA,Botswana,502,50.4,39.7,5.3,331,33.9,26.2,3.7,0.673,Botswana,2023.0,0.731,3.919991175077323,3.5234150143864045,High,16.0,16983.771,Yes,1.0,9.740013520013813,7.4,15.74182,66.89200000000001
GMB,The Republic of the Gambia,447,48.8,32.3,5.3,264,29.6,19.1,3.3,0.607,Gambia,2023.0,0.524,3.8877303128591016,3.387774361330014,Low,74.0,2812.0176,No,0.0,7.941657511801438,0.8,1.28522,31.6025
MOZ,Mozambique,5381,45.7,30.2,4.6,3090,26.8,17.3,2.8,0.586,Mozambique,2023.0,0.493,3.822098297900159,3.288401887516811,Low,0.0,1355.7671,Yes,1.0,7.212122698586492,3.3,11.46364,9.6
UGA,Uganda,5164,38.2,20.5,4.1,3000,23.1,11.9,2.5,0.605,Uganda,2023.0,0.582,3.6428355156125294,3.139832617527748,Medium,66.0,2736.41,No,0.0,7.914402121316652,3.3,4.93709,0.91
TCD,Chad,2348,38.1,23.2,3.8,1337,22.3,13.2,2.3,0.585,Chad,2023.0,0.416,3.6402142821326553,3.104586678466073,Low,0.0,1748.001,No,0.0,7.466228128297697,1.9,0.92163,
FJI,Fiji,192,38.0,41.0,3.8,114,22.9,24.4,2.5,0.603,Fiji,2023.0,0.731,3.6375861597263857,3.131136910560194,High,53.0,12843.159,Yes,1.0,9.4605665750214,12.7,1.04185,99.582
SEN,Senegal,2280,37.8,25.1,4.2,1362,23.1,15.0,2.7,0.611,Senegal,2023.0,0.53,3.632309102625542,3.139832617527748,Low,0.0,4202.031,No,0.0,8.343323258817048,0.8,0.32957,
GNB,Guinea-Bissau,283,37.6,25.4,4.2,169,23.0,15.2,2.7,0.612,Guinea-Bissau,2023.0,0.514,3.6270040503958487,3.1354942159291497,Low,0.0,2403.0593,No,0.0,7.78449791291846,0.6,2.16422,21.445
COD,"Congo, Democratic Republic of",11215,36.2,20.4,4.0,6755,22.2,12.3,2.5,0.613,Democratic Republic of Congo,2023.0,0.522,3.5890591188317256,3.100092288878234,Low,0.0,1431.048,No,0.0,7.266162321970837,3.2,0.74788,13.184999999999999
MDG,Madagascar,4071,35.9,25.6,3.8,2338,21.2,14.7,2.3,0.591,Madagascar,2023.0,0.487,3.580737295494233,3.054001181677967,Low,0.0,1655.7646,Yes,1.0,7.412018175082516,10.7,0.47871,
COM,Comoros,121,35.4,28.1,3.7,70,21.0,16.3,2.3,0.593,Comoros,2023.0,0.603,3.5667118201397288,3.044522437723423,Medium,0.0,3481.1213,No,0.0,8.155109733512852,2.7,0.02688,
MLI,Mali,2042,34.7,16.8,3.9,1242,21.6,10.2,2.5,0.622,Mali,2023.0,0.419,3.5467396869528134,3.0726933146901194,Low,0.0,2341.5881,No,0.0,7.758584653369546,0.9,0.75743,
BDI,Burundi,1242,31.6,17.6,3.5,732,19.2,10.4,2.2,0.608,Burundi,2023.0,0.439,3.4531571205928664,2.954910279033736,Low,0.0,858.9156,No,0.0,6.755670663373567,5.3,0.77931,
LBR,Liberia,561,31.3,20.0,3.6,345,19.6,12.3,2.3,0.626,Liberia,2023.0,0.51,3.4436180975461075,2.975529566236472,Low,0.0,1537.8594,No,0.0,7.338146728461534,1.9,0.91809,13.535
GUY,Guyana,139,31.0,32.6,3.4,76,16.9,17.8,1.9,0.545,Guyana,2023.0,0.776,3.4339872044851463,2.827313621929028,High,48.0,46959.25,Yes,1.0,10.757035483335258,2.3,1.56755,79.744
PRY,Paraguay,1121,30.9,32.5,3.1,593,16.5,17.2,1.7,0.534,Paraguay,2023.0,0.756,3.4307561839036995,2.803360380906535,High,73.0,15252.22,Yes,1.0,9.632480345211215,3.1,0.49052,94.126
RWA,Rwanda,1582,30.6,21.7,3.4,965,18.9,13.2,2.2,0.618,Rwanda,2023.0,0.578,3.4210000089583352,2.9391619220655967,Medium,73.0,2970.5596,Yes,1.0,7.996505631556813,6.4,2.02225,33.72
SLB,Solomon Islands,98,30.6,24.5,3.0,51,17.7,12.7,1.9,0.578,Solomon Islands,2023.0,0.584,3.4210000089583352,2.873564639579784,Medium,51.0,2777.2668,No,0.0,7.929222557592874,20.9,,21.88
GHA,Ghana,3740,30.4,21.7,3.4,2324,19.2,13.5,2.2,0.632,Ghana,2023.0,0.628,3.414442608412176,2.954910279033736,Medium,0.0,6846.352,No,0.0,8.831471234654101,0.7,1.48983,
COG,"Congo, Republic of",589,30.2,18.6,3.7,384,19.8,12.1,2.4,0.656,Congo,2023.0,0.649,3.407841924380824,2.9856819377004897,Medium,0.0,5902.599,No,0.0,8.683148041373013,2.4,3.23412,
PNG,Papua New Guinea,1055,29.7,20.5,3.2,635,18.4,12.4,2.0,0.62,Papua New Guinea,2023.0,0.576,3.391147045808654,2.91235066461494,Medium,0.0,3970.6477,No,0.0,8.286684508988557,25.9,1.50141,
CIV,Côte d'Ivoire,2540,29.6,16.2,3.3,1542,18.6,9.8,2.1,0.628,Cote d'Ivoire,2023.0,0.582,3.387774361330014,2.923161580719156,Medium,0.0,6735.4165,Yes,1.0,8.815134928060814,1.4,1.67546,22.932
BOL,Bolivia (Plurinational State of),1745,29.2,28.2,2.9,1014,17.2,16.4,1.8,0.589,Bolivia,2023.0,0.733,3.374168709274236,2.8449093838194077,High,69.0,9445.245,Yes,1.0,9.153266719249793,4.8,0.36296,65.498
CMR,Cameroon,2379,28.9,16.3,3.4,1453,18.1,10.0,2.2,0.626,Cameroon,2023.0,0.588,3.3638415951183864,2.89591193827178,Medium,0.0,4746.2656,No,0.0,8.465113398345983,1.5,2.51949,
ZAF,South Africa,9794,27.4,29.8,2.9,5165,14.4,15.7,1.6,0.526,South Africa,2023.0,0.741,3.310543013394025,2.667228206581955,High,44.0,13693.988,Yes,1.0,9.524712183384436,8.7,17.20138,99.65
SLE,Sierra Leone,721,25.9,16.6,2.9,439,16.1,10.1,1.9,0.622,Sierra Leone,2023.0,0.467,3.254242968705492,2.778819271990417,Low,0.0,1713.7278,No,0.0,7.446426276744479,5.7,1.3733,19.62
GTM,Guatemala,1894,24.9,20.4,2.6,1108,15.0,11.9,1.6,0.602,Guatemala,2023.0,0.662,3.214867803470662,2.70805020110221,Medium,91.0,12458.604,Yes,1.0,9.430166747541383,1.8,0.22556,93.178
TZA,"Tanzania, United Republic of",4966,24.8,14.4,2.9,3011,15.3,8.7,1.8,0.617,Tanzania,2023.0,0.555,3.210843653170937,2.72785282839839,Medium,99.0,3514.6328,No,0.0,8.164690332215917,2.6,3.54043,
