Code,Country,ASIR_val,ASMR_val,HDI_val,Year
AFG,Afghanistan,10.27,,0.486,2022
ALB,Albania,8.7,,0.794,2022
DZA,Algeria,7.96,,0.755,2022
AGO,Angola,30.4,,0.609,2022
ARG,Argentina,16.78,,0.847,2022
ARM,Armenia,6.83,,0.786,2022
AUS,Australia,5.25,,0.954,2022
AUT,Austria,5.87,,0.93,2022
AZE,Azerbaijan,8.18,,0.765,2022
BHS,Bahamas,15.15,,0.794,2022
BHR,Bahrain,2.66,,0.885,2022
BGD,Bangladesh,11.28,,0.663,2022
BRB,Barbados,13.75,,0.803,2022
BLR,Belarus,9.25,,0.817,2022
BEL,Belgium,6.3,,0.948,2022
BLZ,Belize,17.27,,0.713,2022
BEN,Benin,18.12,,0.506,2022
BTN,Bhutan,13.56,,0.691,2022
BOL,Bolivia,38.65,,0.693,2022
BIH,Bosnia and Herzegovina,12.33,,0.783,2022
BWA,Botswana,39.06,,0.7,2022
BRA,Brazil,12.69,,0.768,2022
BRN,Brunei,20.01,,0.835,2022
BGR,Bulgaria,15.41,,0.817,2022
BFA,Burkina Faso,15.88,,0.454,2022
BDI,Burundi,43.58,,0.435,2022
KHM,Cambodia,15.24,,0.594,2022
CMR,Cameroon,33.11,,0.574,2022
CAN,Canada,6.63,,0.937,2022
CPV,Cape Verde,16.07,,0.651,2022
CAF,Central African Republic,21.77,,0.339,2022
TCD,Chad,23.51,,0.408,2022
CHL,Chile,11.34,,0.865,2022
CHN,China,13.83,,0.794,2022
COL,Colombia,13.68,,0.762,2022
COM,Comoros,52.01,,0.594,2022
COG,Congo,22.32,,0.643,2022
CRI,Costa Rica,10.6,,0.817,2022
CIV,Cote d'Ivoire,32.04,,0.557,2022
HRV,Croatia,8.25,,0.876,2022
CUB,Cuba,12.83,,0.745,2022
CYP,Cyprus,6.99,,0.907,2022
CZE,Czechia,8.01,,0.901,2022
COD,Democratic Republic of Congo,32.91,,0.508,2022
DNK,Denmark,9.74,,0.958,2022
DJI,Djibouti,16.53,,0.501,2022
DOM,Dominican Republic,15.63,,0.762,2022
TLS,East Timor,14.75,,0.644,2022
ECU,Ecuador,17.66,,0.753,2022
EGY,Egypt,2.77,,0.738,2022
SLV,El Salvador,15.19,,0.663,2022
GNQ,Equatorial Guinea,33.23,,0.671,2022
ERI,Eritrea,16.41,,0.496,2022
EST,Estonia,11.81,,0.899,2022
SWZ,Eswatini,95.89,,0.658,2022
ETH,Ethiopia,22.28,,0.487,2022
FJI,Fiji,34.97,,0.705,2022
FIN,Finland,4.63,,0.949,2022
FRA,France,6.55,,0.915,2022
GAB,Gabon,32.48,,0.72,2022
GMB,Gambia,39.37,,0.513,2022
GEO,Georgia,10.35,,0.819,2022
DEU,Germany,7.14,,0.958,2022
GHA,Ghana,27.0,,0.618,2022
GRC,Greece,5.46,,0.897,2022
GTM,Guatemala,21.49,,0.639,2022
GIN,Guinea,55.01,,0.49,2022
GNB,Guinea-Bissau,34.3,,0.502,2022
GUY,Guyana,30.31,,0.713,2022
HTI,Haiti,16.59,,0.548,2022
HND,Honduras,19.5,,0.628,2022
HUN,Hungary,12.62,,0.852,2022
ISL,Iceland,9.37,,0.967,2022
IND,India,17.71,,0.647,2022
IDN,Indonesia,23.31,,0.707,2022
IRN,Iran,2.53,,0.777,2022
IRQ,Iraq,2.18,,0.687,2022
IRL,Ireland,7.47,,0.946,2022
ISR,Israel,6.24,,0.918,2022
ITA,Italy,4.99,,0.908,2022
JAM,Jamaica,20.4,,0.703,2022
JPN,Japan,12.53,,0.922,2022
JOR,Jordan,3.19,,0.736,2022
KAZ,Kazakhstan,15.52,,0.816,2022
KEN,Kenya,32.83,,0.608,2022
KWT,Kuwait,3.06,,0.839,2022
KGZ,Kyrgyzstan,14.14,,0.704,2022
LAO,Laos,11.95,,0.613,2022
LVA,Latvia,16.91,,0.871,2022
LBN,Lebanon,3.59,,0.733,2022
LSO,Lesotho,60.49,,0.532,2022
LBR,Liberia,39.61,,0.503,2022
LBY,Libya,8.0,,0.729,2022
LTU,Lithuania,13.69,,0.887,2022
LUX,Luxembourg,4.35,,0.918,2022
MDG,Madagascar,41.77,,0.481,2022
MWI,Malawi,70.85,,0.509,2022
MYS,Malaysia,10.33,,0.802,2022
MDV,Maldives,22.64,,0.745,2022
MLI,Mali,43.14,,0.414,2022
MLT,Malta,4.22,,0.914,2022
MRT,Mauritania,28.29,,0.553,2022
MUS,Mauritius,12.9,,0.789,2022
MEX,Mexico,13.18,,0.761,2022
MDA,Moldova,14.18,,0.773,2022
MNG,Mongolia,20.19,,0.727,2022
MNE,Montenegro,11.96,,0.84,2022
MAR,Morocco,11.97,,0.69,2022
MOZ,Mozambique,47.79,,0.478,2022
MMR,Myanmar,21.44,,0.605,2022
NAM,Namibia,33.45,,0.631,2022
NPL,Nepal,14.15,,0.596,2022
NLD,Netherlands,6.67,,0.951,2022
NZL,New Zealand,4.93,,0.939,2022
NIC,Nicaragua,20.61,,0.682,2022
NER,Niger,9.31,,0.413,2022
NGA,Nigeria,26.18,,0.554,2022
MKD,North Macedonia,6.72,,0.781,2022
NOR,Norway,10.91,,0.969,2022
OMN,Oman,6.44,,0.834,2022
PAK,Pakistan,5.4,,0.537,2022
PSE,Palestine,3.12,,0.718,2022
PAN,Panama,14.46,,0.819,2022
PNG,Papua New Guinea,27.77,,0.567,2022
PRY,Paraguay,30.61,,0.723,2022
PER,Peru,23.9,,0.764,2022
PHL,Philippines,15.51,,0.69,2022
POL,Poland,11.32,,0.884,2022
PRT,Portugal,11.08,,0.876,2022
QAT,Qatar,4.67,,0.866,2022
ROU,Romania,21.67,,0.829,2022
RUS,Russia,17.56,,0.813,2022
RWA,Rwanda,18.92,,0.562,2022
LCA,Saint Lucia,15.72,,0.724,2022
WSM,Samoa,13.29,,0.706,2022
STP,Sao Tome and Principe,18.77,,0.631,2022
SAU,Saudi Arabia,2.36,,0.878,2022
SEN,Senegal,34.26,,0.522,2022
SRB,Serbia,13.35,,0.807,2022
SLE,Sierra Leone,16.46,,0.458,2022
SGP,Singapore,7.42,,0.948,2022
SVK,Slovakia,12.93,,0.859,2022
SVN,Slovenia,7.16,,0.924,2022
SLB,Solomon Islands,26.15,,0.577,2022
ZAF,South Africa,33.18,,0.721,2022
KOR,South Korea,8.59,,0.933,2022
SSD,South Sudan,21.42,,0.393,2022
ESP,Spain,5.44,,0.912,2022
LKA,Sri Lanka,9.18,,0.777,2022
SDN,Sudan,8.6,,0.512,2022
SUR,Suriname,24.2,,0.697,2022
SWE,Sweden,8.55,,0.958,2022
CHE,Switzerland,4.08,,0.968,2022
SYR,Syria,2.51,,0.571,2022
TJK,Tajikistan,6.64,,0.672,2022
TZA,Tanzania,64.75,,0.548,2022
THA,Thailand,14.91,,0.8,2022
TGO,Togo,19.05,,0.56,2022
TTO,Trinidad and Tobago,18.28,,0.796,2022
TUN,Tunisia,5.25,,0.728,2022
TUR,Turkey,4.75,,0.841,2022
TKM,Turkmenistan,14.1,,0.754,2022
UGA,Uganda,53.76,,0.573,2022
UKR,Ukraine,15.24,,0.772,2022
ARE,United Arab Emirates,5.7,,0.903,2022
GBR,United Kingdom,7.51,,0.941,2022
USA,United States,6.32,,0.921,2022
URY,Uruguay,15.94,,0.837,2022
UZB,Uzbekistan,14.81,,0.727,2022
VUT,Vanuatu,18.15,,0.615,2022
VEN,Venezuela,22.73,,0.696,2022
VNM,Vietnam,7.12,,0.754,2022
YEM,Yemen,2.14,,0.458,2022
ZMB,Zambia,71.5,,0.574,2022
ZWE,Zimbabwe,68.2,,0.581,2022
MWI,Malawi,93.4,55.2,0.517,2024
ZWE,Zimbabwe,89.5,54.9,0.598,2024
SWZ,Eswatini,76.5,44.3,0.695,2024
ZMB,Zambia,74.8,45.4,0.595,2024
LSO,Lesotho,53.8,35.1,0.55,2024
BWA,Botswana,50.4,33.9,0.731,2024
GMB,The Republic of the Gambia,48.8,29.6,0.524,2024
MOZ,Mozambique,45.7,26.8,0.493,2024
UGA,Uganda,38.2,23.1,0.582,2024
TCD,Chad,38.1,22.3,0.416,2024
FJI,Fiji,38.0,22.9,0.731,2024
SEN,Senegal,37.8,23.1,0.53,2024
GNB,Guinea-Bissau,37.6,23.0,0.514,2024
COD,"Congo, Democratic Republic of",36.2,22.2,0.522,2024
MDG,Madagascar,35.9,21.2,0.487,2024
COM,Comoros,35.4,21.0,0.603,2024
MLI,Mali,34.7,21.6,0.419,2024
BDI,Burundi,31.6,19.2,0.439,2024
LBR,Liberia,31.3,19.6,0.51,2024
GUY,Guyana,31.0,16.9,0.776,2024
PRY,Paraguay,30.9,16.5,0.756,2024
RWA,Rwanda,30.6,18.9,0.578,2024
SLB,Solomon Islands,30.6,17.7,0.584,2024
GHA,Ghana,30.4,19.2,0.628,2024
COG,"Congo, Republic of",30.2,19.8,0.649,2024
PNG,Papua New Guinea,29.7,18.4,0.576,2024
CIV,Côte d'Ivoire,29.6,18.6,0.582,2024
BOL,Bolivia (Plurinational State of),29.2,17.2,0.733,2024
CMR,Cameroon,28.9,18.1,0.588,2024
ZAF,South Africa,27.4,14.4,0.741,2024
SLE,Sierra Leone,25.9,16.1,0.467,2024
GTM,Guatemala,24.9,15.0,0.662,2024
TZA,"Tanzania, United Republic of",24.8,15.3,0.555,2024
MRT,Mauritania,24.7,15.4,0.563,2024
TGO,Togo,24.4,15.1,0.571,2024
KEN,Kenya,24.0,14.9,0.628,2024
JAM,Jamaica,23.8,12.7,0.72,2024
PER,Peru,23.7,11.4,0.794,2024
ROU,Romania,23.5,9.7,0.845,2024
BHS,Bahamas,23.2,10.1,0.82,2024
HTI,Haiti,21.5,13.0,0.554,2024
BLZ,Belize,21.0,13.4,0.721,2024
ETH,Ethiopia,20.2,12.6,0.497,2024
MDA,Republic of Moldova,19.9,6.6,0.785,2024
NGA,Nigeria,19.1,12.0,0.56,2024
BTN,Bhutan,19.0,11.7,0.698,2024
VUT,Vanuatu,18.9,14.7,0.621,2024
SLV,El Salvador,18.9,11.2,0.678,2024
NER,Niger,18.7,11.5,0.419,2024
IDN,Indonesia,18.6,9.3,0.728,2024
BFA,Burkina Faso,18.5,11.5,0.459,2024
LCA,Saint Lucia,18.4,8.3,0.748,2024
ECU,Ecuador,17.9,9.0,0.777,2024
RUS,Russian Federation,17.8,5.1,0.832,2024
HND,Honduras,17.6,10.6,0.645,2024
STP,Sao Tome and Principe,17.4,9.5,0.637,2024
UZB,Uzbekistan,17.0,9.5,0.74,2024
GEO,Georgia,17.0,5.6,0.844,2024
TLS,Timor-Leste,16.8,8.6,0.634,2024
SRB,Serbia,16.8,6.5,0.833,2024
BEN,Benin,16.7,10.5,0.515,2024
ARG,Argentina,16.5,8.7,0.865,2024
LVA,Latvia,16.3,5.0,0.889,2024
URY,Uruguay,16.3,5.9,0.862,2024
UKR,Ukraine,16.1,5.9,0.779,2024
BGR,Bulgaria,16.0,6.7,0.845,2024
PAN,Panama,15.9,8.1,0.839,2024
MNE,Montenegro,15.8,6.1,0.862,2024
CPV,Cape Verde,15.8,10.3,0.668,2024
BRN,Brunei Darussalam,15.7,6.7,0.837,2024
GAB,Gabon,15.6,9.6,0.733,2024
MMR,Myanmar,15.2,9.4,0.609,2024
MEX,Mexico,15.1,6.1,0.789,2024
KGZ,Kyrgyzstan,14.9,8.1,0.72,2024
SVK,Slovakia,13.9,4.6,0.88,2024
KHM,Cambodia,13.8,8.4,0.606,2024
PHL,Philippines,13.8,6.0,0.72,2024
COL,Colombia,13.8,6.4,0.788,2024
CUB,Cuba,13.7,6.3,0.762,2024
HUN,Hungary,13.4,4.8,0.87,2024
BRA,Brazil,13.2,6.2,0.786,2024
MNG,Mongolia,13.1,8.0,0.747,2024
BGD,Bangladesh,13.1,7.8,0.685,2024
CHN,China,13.0,3.9,0.797,2024
THA,Thailand,12.6,6.0,0.798,2024
BLR,Belarus,12.4,4.4,0.824,2024
VNM,Viet Nam,12.3,6.1,0.766,2024
CHL,Chile,12.0,5.1,0.878,2024
