Code,2022,2024,change,pct_change,HDI_tier,HDI_val
AFG,10.27,6.4,-3.869999999999999,-37.68257059396299,Low,0.496
ALB,8.7,8.7,0.0,0.0,Very High,0.81
ARE,5.7,5.6,-0.10000000000000053,-1.75438596491229,Very High,0.94
ARG,16.78,16.5,-0.28000000000000114,-1.6686531585220568,Very High,0.865
ARM,6.83,11.1,4.27,62.51830161054172,Very High,0.811
AUS,5.25,5.4,0.15000000000000036,2.857142857142864,Very High,0.958
AUT,5.87,5.8,-0.07000000000000028,-1.1925042589437869,Very High,0.93
AZE,8.18,8.0,-0.17999999999999972,-2.200488997555009,High,0.789
BDI,43.58,31.6,-11.979999999999997,-27.48967416245984,Low,0.439
BEL,6.3,6.9,0.6000000000000005,9.523809523809533,Very High,0.951
BEN,18.12,16.7,-1.4200000000000017,-7.836644591611488,Low,0.515
BFA,15.88,18.5,2.619999999999999,16.498740554156168,Low,0.459
BGD,11.28,13.1,1.8200000000000003,16.13475177304965,Medium,0.685
BGR,15.41,16.0,0.5899999999999999,3.828682673588578,Very High,0.845
BHR,2.66,2.8,0.13999999999999968,5.26315789473683,Very High,0.899
BHS,15.15,23.2,8.049999999999999,53.13531353135313,Very High,0.82
BIH,12.33,11.8,-0.5299999999999994,-4.298459042984585,Very High,0.804
BLR,9.25,12.4,3.1500000000000004,34.05405405405406,Very High,0.824
BLZ,17.27,21.0,3.7300000000000004,21.598147075854087,High,0.721
BOL,38.65,29.2,-9.45,-24.45019404915912,High,0.733
BRA,12.69,13.2,0.5099999999999998,4.018912529550826,High,0.786
BRN,20.01,15.7,-4.310000000000002,-21.539230384807606,Very High,0.837
BTN,13.56,19.0,5.4399999999999995,40.117994100294986,Medium,0.698
BWA,39.06,50.4,11.339999999999996,29.032258064516117,High,0.731
CAN,6.63,6.0,-0.6299999999999999,-9.502262443438912,Very High,0.939
CHE,4.08,3.6,-0.48,-11.76470588235294,Very High,0.97
CHL,11.34,12.0,0.6600000000000001,5.820105820105821,Very High,0.878
CHN,13.83,13.0,-0.8300000000000001,-6.001446131597976,High,0.797
CIV,32.04,29.6,-2.4399999999999977,-7.615480649188507,Medium,0.582
CMR,33.11,28.9,-4.210000000000001,-12.71519178495923,Medium,0.588
COD,32.91,36.2,3.2900000000000063,9.996961409905824,Low,0.522
COG,22.32,30.2,7.879999999999999,35.30465949820788,Medium,0.649
COL,13.68,13.8,0.120000000000001,0.8771929824561476,High,0.788
COM,52.01,35.4,-16.61,-31.936166121899635,Medium,0.603
CPV,16.07,15.8,-0.2699999999999996,-1.6801493466085848,Medium,0.668
CRI,10.6,10.6,0.0,0.0,Very High,0.833
CUB,12.83,13.7,0.8699999999999992,6.780982073265776,High,0.762
CYP,6.99,6.6,-0.39000000000000057,-5.579399141630909,Very High,0.913
CZE,8.01,7.2,-0.8099999999999996,-10.112359550561793,Very High,0.915
DEU,7.14,7.2,0.0600000000000005,0.8403361344537885,Very High,0.959
DNK,9.74,8.6,-1.1400000000000006,-11.704312114989738,Very High,0.962
DZA,7.96,7.6,-0.3600000000000003,-4.522613065326636,High,0.763
ECU,17.66,17.9,0.23999999999999844,1.359003397508485,High,0.777
EGY,2.77,2.4,-0.3700000000000001,-13.357400722021666,High,0.754
ESP,5.44,4.9,-0.54,-9.926470588235293,Very High,0.918
EST,11.81,10.8,-1.0099999999999998,-8.552074513124468,Very High,0.905
ETH,22.28,20.2,-2.080000000000002,-9.335727109515268,Low,0.497
FIN,4.63,4.3,-0.33000000000000007,-7.127429805615552,Very High,0.948
FJI,34.97,38.0,3.030000000000001,8.664569631112386,High,0.731
FRA,6.55,6.6,0.04999999999999982,0.7633587786259515,Very High,0.92
GAB,32.48,15.6,-16.879999999999995,-51.97044334975369,High,0.733
GBR,7.51,7.6,0.08999999999999986,1.1984021304926746,Very High,0.946
GEO,10.35,17.0,6.65,64.2512077294686,Very High,0.844
GHA,27.0,30.4,3.3999999999999986,12.592592592592588,Medium,0.628
GMB,39.37,48.8,9.43,23.95224790449581,Low,0.524
GNB,34.3,37.6,3.3000000000000043,9.620991253644329,Low,0.514
GRC,5.46,6.2,0.7400000000000002,13.553113553113558,Very High,0.908
GTM,21.49,24.9,3.41,15.867845509539322,Medium,0.662
GUY,30.31,31.0,0.6900000000000013,2.2764764104256066,High,0.776
HND,19.5,17.6,-1.8999999999999986,-9.743589743589736,Medium,0.645
HRV,8.25,8.2,-0.05000000000000071,-0.6060606060606146,Very High,0.889
HTI,16.59,21.5,4.91,29.596142254370104,Medium,0.554
HUN,12.62,13.4,0.7800000000000011,6.18066561014264,Very High,0.87
IDN,23.31,18.6,-4.709999999999997,-20.205920205920194,High,0.728
IND,17.71,10.5,-7.210000000000001,-40.71146245059289,Medium,0.685
IRL,7.47,7.2,-0.2699999999999996,-3.6144578313252955,Very High,0.949
IRN,2.53,2.4,-0.1299999999999999,-5.138339920948613,High,0.799
IRQ,2.18,3.0,0.8199999999999998,37.61467889908256,Medium,0.695
ISL,9.37,7.1,-2.2699999999999996,-24.226254002134468,Very High,0.972
ISR,6.24,5.4,-0.8399999999999999,-13.461538461538458,Very High,0.919
ITA,4.99,5.1,0.10999999999999943,2.204408817635259,Very High,0.915
JAM,20.4,23.8,3.400000000000002,16.66666666666668,High,0.72
JOR,3.19,4.8,1.6099999999999999,50.47021943573668,High,0.754
JPN,12.53,11.3,-1.2299999999999986,-9.816440542697515,Very High,0.925
KAZ,15.52,10.2,-5.32,-34.27835051546392,Very High,0.837
KEN,32.83,24.0,-8.829999999999998,-26.896131586963136,Medium,0.628
KGZ,14.14,14.9,0.7599999999999998,5.374823196605373,High,0.72
KHM,15.24,13.8,-1.4399999999999995,-9.448818897637791,Medium,0.606
KOR,8.59,8.4,-0.1899999999999995,-2.211874272409773,Very High,0.937
KWT,3.06,3.9,0.8399999999999999,27.450980392156858,Very High,0.852
LAO,11.95,12.0,0.05000000000000071,0.41841004184101016,Medium,0.617
LBN,3.59,4.4,0.8100000000000005,22.56267409470754,High,0.752
LBR,39.61,31.3,-8.309999999999999,-20.97955061853067,Low,0.51
LBY,8.0,9.5,1.5,18.75,High,0.721
LCA,15.72,18.4,2.679999999999998,17.04834605597963,High,0.748
LKA,9.18,9.8,0.620000000000001,6.753812636165589,High,0.776
LSO,60.49,53.8,-6.690000000000005,-11.059679285832376,Medium,0.55
LTU,13.69,10.5,-3.1899999999999995,-23.301680058436812,Very High,0.895
LUX,4.35,4.8,0.4500000000000002,10.3448275862069,Very High,0.922
LVA,16.91,16.3,-0.6099999999999994,-3.607332939089293,Very High,0.889
MAR,11.97,10.2,-1.7700000000000014,-14.786967418546377,High,0.71
MDA,14.18,19.9,5.719999999999999,40.33850493653032,High,0.785
MDG,41.77,35.9,-5.8700000000000045,-14.053148192482652,Low,0.487
MDV,22.64,7.2,-15.440000000000001,-68.19787985865725,High,0.766
MEX,13.18,15.1,1.92,14.56752655538695,High,0.789
MKD,6.72,10.4,3.6800000000000006,54.76190476190477,Very High,0.815
MLI,43.14,34.7,-8.439999999999998,-19.56420955030134,Low,0.419
MLT,4.22,3.3,-0.9199999999999999,-21.80094786729858,Very High,0.924
MMR,21.44,15.2,-6.240000000000002,-29.104477611940307,Medium,0.609
MNE,11.96,15.8,3.84,32.10702341137124,Very High,0.862
MNG,20.19,13.1,-7.090000000000002,-35.11639425458148,High,0.747
MOZ,47.79,45.7,-2.0899999999999963,-4.373299853525834,Low,0.493
MRT,28.29,24.7,-3.59,-12.689996465182043,Medium,0.563
MUS,12.9,10.5,-2.4000000000000004,-18.6046511627907,Very High,0.806
MWI,70.85,93.4,22.55000000000001,31.82780522230065,Low,0.517
MYS,10.33,10.2,-0.13000000000000078,-1.2584704743465709,Very High,0.819
NER,9.31,18.7,9.389999999999999,100.85929108485497,Low,0.419
NGA,26.18,19.1,-7.079999999999998,-27.043544690603504,Medium,0.56
NLD,6.67,7.4,0.7300000000000004,10.94452773613194,Very High,0.955
NOR,10.91,10.9,-0.009999999999999787,-0.09165902841429685,Very High,0.97
NPL,14.15,10.3,-3.8499999999999996,-27.20848056537102,Medium,0.622
NZL,4.93,4.7,-0.22999999999999954,-4.665314401622709,Very High,0.938
OMN,6.44,5.2,-1.2400000000000002,-19.254658385093173,Very High,0.858
PAK,5.4,3.0,-2.4000000000000004,-44.44444444444445,Low,0.544
PAN,14.46,15.9,1.4399999999999995,9.958506224066385,Very High,0.839
PER,23.9,23.7,-0.1999999999999993,-0.8368200836820054,High,0.794
PHL,15.51,13.8,-1.709999999999999,-11.025145067698254,High,0.72
PNG,27.77,29.7,1.9299999999999997,6.9499459848757645,Medium,0.576
POL,11.32,9.4,-1.92,-16.96113074204947,Very High,0.906
PRT,11.08,11.8,0.7200000000000006,6.498194945848381,Very High,0.89
PRY,30.61,30.9,0.28999999999999915,0.9474028095393634,High,0.756
QAT,4.67,5.6,0.9299999999999997,19.914346895074942,Very High,0.886
ROU,21.67,23.5,1.8299999999999983,8.44485463774803,Very High,0.845
RUS,17.56,17.8,0.240000000000002,1.3667425968109455,Very High,0.832
RWA,18.92,30.6,11.68,61.73361522198731,Medium,0.578
SAU,2.36,1.8,-0.5599999999999998,-23.728813559322028,Very High,0.9
SEN,34.26,37.8,3.539999999999999,10.332749562171626,Low,0.53
SGP,7.42,8.2,0.7799999999999994,10.512129380053901,Very High,0.946
SLB,26.15,30.6,4.450000000000003,17.017208413001924,Medium,0.584
SLE,16.46,25.9,9.439999999999998,57.35115431348723,Low,0.467
SLV,15.19,18.9,3.709999999999999,24.423963133640548,Medium,0.678
SRB,13.35,16.8,3.450000000000001,25.842696629213492,Very High,0.833
STP,18.77,17.4,-1.370000000000001,-7.298881193393719,Medium,0.637
SVK,12.93,13.9,0.9700000000000006,7.501933488012379,Very High,0.88
SVN,7.16,6.4,-0.7599999999999998,-10.614525139664801,Very High,0.931
SWE,8.55,7.9,-0.6500000000000004,-7.602339181286553,Very High,0.959
SWZ,95.89,76.5,-19.39,-20.22108666179998,Medium,0.695
TCD,23.51,38.1,14.59,62.05869842620161,Low,0.416
TGO,19.05,24.4,5.349999999999998,28.083989501312324,Medium,0.571
THA,14.91,12.6,-2.3100000000000005,-15.492957746478877,High,0.798
TKM,14.1,10.0,-4.1,-29.07801418439716,High,0.764
TLS,14.75,16.8,2.0500000000000007,13.898305084745767,Medium,0.634
TUN,5.25,4.1,-1.1500000000000004,-21.90476190476191,High,0.746
TUR,4.75,4.5,-0.25,-5.2631578947368425,Very High,0.853
TZA,64.75,24.8,-39.95,-61.698841698841704,Medium,0.555
UGA,53.76,38.2,-15.559999999999995,-28.943452380952372,Medium,0.582
UKR,15.24,16.1,0.8600000000000012,5.64304461942258,High,0.779
URY,15.94,16.3,0.3600000000000012,2.2584692597239724,Very High,0.862
USA,6.32,6.0,-0.3200000000000003,-5.06329113924051,Very High,0.938
UZB,14.81,17.0,2.1899999999999995,14.787305874409178,High,0.74
VNM,7.12,12.3,5.180000000000001,72.75280898876406,High,0.766
VUT,18.15,18.9,0.75,4.132231404958678,Medium,0.621
WSM,13.29,6.6,-6.6899999999999995,-50.33860045146727,High,0.708
ZAF,33.18,27.4,-5.780000000000001,-17.420132610006032,High,0.741
ZMB,71.5,74.8,3.299999999999997,4.615384615384611,Medium,0.595
ZWE,68.2,89.5,21.299999999999997,31.23167155425219,Medium,0.598
