Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,ASR (World),Crude rate,Cumulative risk
AFG,23,004,4,Afghanistan,2,790,-,-,6.4,3.7,0.68
ALB,23,008,8,Albania,2,164,-,-,8.7,11.6,0.88
DZA,23,012,12,Algeria,2,1792,-,-,7.6,7.8,0.88
AGO,23,024,24,Angola,2,3361,-,-,30.5,17.6,3.5
AZE,23,031,31,Azerbaijan,2,558,-,-,8.0,10.6,0.88
ARG,23,032,32,Argentina,2,4679,-,-,16.5,20.3,1.7
AUS,23,036,36,Australia,2,991,-,-,5.4,7.4,0.51
AUT,23,040,40,Austria,2,402,-,-,5.8,8.7,0.56
BHS,23,044,44,Bahamas,2,68,-,-,23.2,32.4,2.3
BHR,23,048,48,Bahrain,2,20,-,-,2.8,3.3,0.30
BGD,23,050,50,Bangladesh,2,11106,-,-,13.1,12.6,1.4
ARM,23,051,51,Armenia,2,274,-,-,11.1,17.2,1.2
BRB,23,052,52,Barbados,2,34,-,-,15.2,23.1,1.6
BEL,23,056,56,Belgium,2,599,-,-,6.9,10.1,0.69
BTN,23,064,64,Bhutan,2,75,-,-,19.0,20.4,2.0
BOL,23,068,68,Bolivia (Plurinational State of),2,1745,-,-,29.2,28.2,2.9
BIH,23,070,70,Bosnia Herzegovina,2,284,-,-,11.8,17.1,1.2
BWA,23,072,72,Botswana,2,502,-,-,50.4,39.7,5.3
BRA,23,076,76,Brazil,2,18986,-,-,13.2,17.6,1.3
BLZ,23,084,84,Belize,2,41,-,-,21.0,19.8,2.1
SLB,23,090,90,Solomon Islands,2,98,-,-,30.6,24.5,3.0
BRN,23,096,96,Brunei Darussalam,2,42,-,-,15.7,19.4,1.5
BGR,23,100,100,Bulgaria,2,844,-,-,16.0,24.2,1.6
MMR,23,104,104,Myanmar,2,4905,-,-,15.2,17.9,1.8
BDI,23,108,108,Burundi,2,1242,-,-,31.6,17.6,3.5
BLR,23,112,112,Belarus,2,871,-,-,12.4,18.0,1.2
KHM,23,116,116,Cambodia,2,1252,-,-,13.8,13.9,1.5
CMR,23,120,120,Cameroon,2,2379,-,-,28.9,16.3,3.4
CAN,23,124,124,Canada,2,1596,-,-,6.0,8.0,0.56
CPV,23,132,132,Cape Verde,2,44,-,-,15.8,17.1,1.7
CAF,23,140,140,Central African Republic,2,257,-,-,21.4,9.3,2.5
LKA,23,144,144,Sri Lanka,2,1735,-,-,9.8,14.6,1.2
TCD,23,148,148,Chad,2,2348,-,-,38.1,23.2,3.8
CHL,23,152,152,Chile,2,1905,-,-,12.0,19.2,1.2
CHN,23,156,156,China,2,144911,-,-,13.0,21.0,1.4
COL,23,170,170,Colombia,2,4738,-,-,13.8,17.7,1.4
COM,23,174,174,Comoros,2,121,-,-,35.4,28.1,3.7
COG,23,178,178,"Congo, Republic of",2,589,-,-,30.2,18.6,3.7
COD,23,180,180,"Congo, Democratic Republic of",2,11215,-,-,36.2,20.4,4.0
CRI,23,188,188,Costa Rica,2,347,-,-,10.6,13.4,0.97
HRV,23,191,191,Croatia,2,253,-,-,8.2,12.6,0.82
CUB,23,192,192,Cuba,2,1355,-,-,13.7,24.4,1.5
CYP,23,196,196,Cyprus,2,67,-,-,6.6,9.9,0.66
CZE,23,203,203,Czechia,2,625,-,-,7.2,11.5,0.73
BEN,23,204,204,Benin,2,714,-,-,16.7,9.9,2.0
DNK,23,208,208,Denmark,2,325,-,-,8.6,10.8,0.78
DOM,23,214,214,Dominican Republic,2,1121,-,-,16.6,19.5,1.8
ECU,23,218,218,Ecuador,2,1967,-,-,17.9,21.6,1.8
SLV,23,222,222,El Salvador,2,779,-,-,18.9,23.4,1.9
GNQ,23,226,226,Equatorial Guinea,2,99,-,-,15.4,11.1,1.7
ETH,23,231,231,Ethiopia,2,8159,-,-,20.2,12.4,2.4
ERI,23,232,232,Eritrea,2,199,-,-,16.1,11.1,1.9
EST,23,233,233,Estonia,2,118,-,-,10.8,16.5,1.1
FJI,23,242,242,Fiji,2,192,-,-,38.0,41.0,3.8
FIN,23,246,246,Finland,2,155,-,-,4.3,5.5,0.38
FRA,23,250,250,France (metropolitan),2,3326,-,-,6.6,9.7,0.65
GUF,23,254,254,French Guyana,2,26,-,-,15.6,16.2,1.6
PYF,23,258,258,French Polynesia,2,19,-,-,9.8,13.6,1.1
DJI,23,262,262,Djibouti,2,80,-,-,15.3,13.6,1.8
GAB,23,266,266,Gabon,2,146,-,-,15.6,11.7,1.7
GEO,23,268,268,Georgia,2,591,-,-,17.0,29.1,1.7
GMB,23,270,270,The Republic of the Gambia,2,447,-,-,48.8,32.3,5.3
PSE,23,275,275,Gaza Strip and West Bank,2,71,-,-,3.4,2.6,0.33
DEU,23,276,276,Germany,2,4773,-,-,7.2,11.2,0.71
GHA,23,288,288,Ghana,2,3740,-,-,30.4,21.7,3.4
GRC,23,300,300,Greece,2,476,-,-,6.2,9.2,0.57
GLP,23,312,312,"France, Guadeloupe",2,30,-,-,8.1,14.6,0.76
GUM,23,316,316,Guam,2,15,-,-,14.1,18.1,1.4
GTM,23,320,320,Guatemala,2,1894,-,-,24.9,20.4,2.6
GIN,23,324,324,Guinea,2,1323,-,-,28.9,17.8,3.4
GUY,23,328,328,Guyana,2,139,-,-,31.0,32.6,3.4
HTI,23,332,332,Haiti,2,1091,-,-,21.5,18.3,2.2
HND,23,340,340,Honduras,2,826,-,-,17.6,15.4,1.8
HUN,23,348,348,Hungary,2,979,-,-,13.4,19.5,1.3
ISL,23,352,352,Iceland,2,17,-,-,7.1,8.9,0.65
IND,23,356,356,India,2,79360,-,-,10.5,11.3,1.2
IDN,23,360,360,Indonesia,2,31116,-,-,18.6,22.1,2.1
IRN,23,364,364,"Iran, Islamic Republic of",2,1344,-,-,2.4,3.0,0.25
IRQ,23,368,368,Iraq,2,496,-,-,3.0,2.2,0.35
IRL,23,372,372,Ireland,2,243,-,-,7.2,9.2,0.67
ISR,23,376,376,Israel,2,301,-,-,5.4,6.4,0.56
ITA,23,380,380,Italy,2,2585,-,-,5.1,8.5,0.51
CIV,23,384,384,"Côte d'Ivoire",2,2540,-,-,29.6,16.2,3.3
JAM,23,388,388,Jamaica,2,438,-,-,23.8,30.5,2.4
JPN,23,392,392,Japan,2,11057,-,-,11.3,17.5,1.1
KAZ,23,398,398,Kazakhstan,2,1256,-,-,10.2,11.9,1.0
JOR,23,400,400,Jordan,2,228,-,-,4.8,4.1,0.54
KEN,23,404,404,Kenya,2,4294,-,-,24.0,15.1,2.8
PRK,23,408,408,"Korea, Democratic People's Republic of",2,2106,-,-,11.0,15.7,1.2
KOR,23,410,410,"Korea, Republic of",2,3361,-,-,8.4,13.0,0.79
KWT,23,414,414,Kuwait,2,89,-,-,3.9,4.6,0.39
KGZ,23,417,417,Kyrgyzstan,2,538,-,-,14.9,14.8,1.6
LAO,23,418,418,"Lao People's Democratic Republic",2,437,-,-,12.0,11.3,1.2
LBN,23,422,422,Lebanon,2,159,-,-,4.4,5.3,0.49
LSO,23,426,426,Lesotho,2,536,-,-,53.8,44.7,5.3
LVA,23,428,428,Latvia,2,234,-,-,16.3,23.3,1.6
LBR,23,430,430,Liberia,2,561,-,-,31.3,20.0,3.6
LBY,23,434,434,Libya,2,360,-,-,9.5,9.9,1.1
LTU,23,440,440,Lithuania,2,279,-,-,10.5,18.5,1.1
LUX,23,442,442,Luxembourg,2,25,-,-,4.8,7.5,0.53
MDG,23,450,450,Madagascar,2,4071,-,-,35.9,25.6,3.8
