Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,ASR (World),Crude rate,Cumulative risk
AFG,23,004,4,Afghanistan,2,456,-,-,3.8,2.2,0.41
ALB,23,008,8,Albania,2,83,-,-,3.9,5.9,0.44
DZA,23,012,12,Algeria,2,833,-,-,3.5,3.6,0.42
AGO,23,024,24,Angola,2,2058,-,-,19.1,10.8,2.3
AZE,23,031,31,Azerbaijan,2,205,-,-,2.9,3.9,0.33
ARG,23,032,32,Argentina,2,2662,-,-,8.7,11.6,0.90
AUS,23,036,36,Australia,2,349,-,-,1.5,2.6,0.16
AUT,23,040,40,Austria,2,186,-,-,1.7,4.0,0.19
BHS,23,044,44,Bahamas,2,32,-,-,10.1,15.3,1.1
BHR,23,048,48,Bahrain,2,6,-,-,0.90,0.98,0.10
BGD,23,050,50,Bangladesh,2,6557,-,-,7.8,7.4,0.84
ARM,23,051,51,Armenia,2,98,-,-,3.7,6.2,0.41
BRB,23,052,52,Barbados,2,20,-,-,6.9,13.6,0.67
BEL,23,056,56,Belgium,2,234,-,-,1.9,3.9,0.20
BTN,23,064,64,Bhutan,2,46,-,-,11.7,12.5,1.2
BOL,23,068,68,Bolivia (Plurinational State of),2,1014,-,-,17.2,16.4,1.8
BIH,23,070,70,Bosnia Herzegovina,2,152,-,-,4.6,9.2,0.52
BWA,23,072,72,Botswana,2,331,-,-,33.9,26.2,3.7
BRA,23,076,76,Brazil,2,9378,-,-,6.2,8.7,0.64
BLZ,23,084,84,Belize,2,25,-,-,13.4,12.1,1.3
SLB,23,090,90,Solomon Islands,2,51,-,-,17.7,12.7,1.9
BRN,23,096,96,Brunei Darussalam,2,18,-,-,6.7,8.3,0.63
BGR,23,100,100,Bulgaria,2,451,-,-,6.7,12.9,0.74
MMR,23,104,104,Myanmar,2,3032,-,-,9.4,11.1,1.1
BDI,23,108,108,Burundi,2,732,-,-,19.2,10.4,2.2
BLR,23,112,112,Belarus,2,371,-,-,4.4,7.7,0.46
KHM,23,116,116,Cambodia,2,763,-,-,8.4,8.5,0.96
CMR,23,120,120,Cameroon,2,1453,-,-,18.1,10.0,2.2
CAN,23,124,124,Canada,2,551,-,-,1.6,2.8,0.17
CPV,23,132,132,Cape Verde,2,29,-,-,10.3,11.2,1.1
CAF,23,140,140,Central African Republic,2,167,-,-,14.2,6.0,1.7
LKA,23,144,144,Sri Lanka,2,1072,-,-,6.0,9.0,0.74
TCD,23,148,148,Chad,2,1337,-,-,22.3,13.2,2.3
CHL,23,152,152,Chile,2,843,-,-,5.1,8.5,0.53
CHN,23,156,156,China,2,49543,-,-,3.9,7.2,0.44
COL,23,170,170,Colombia,2,2331,-,-,6.4,8.7,0.67
COM,23,174,174,Comoros,2,70,-,-,21.0,16.3,2.3
COG,23,178,178,"Congo, Republic of",2,384,-,-,19.8,12.1,2.4
COD,23,180,180,"Congo, Democratic Republic of",2,6755,-,-,22.2,12.3,2.5
CRI,23,188,188,Costa Rica,2,172,-,-,4.7,6.6,0.49
HRV,23,191,191,Croatia,2,134,-,-,3.2,6.7,0.36
CUB,23,192,192,Cuba,2,706,-,-,6.3,12.7,0.71
CYP,23,196,196,Cyprus,2,27,-,-,2.2,4.0,0.22
CZE,23,203,203,Czechia,2,362,-,-,3.1,6.7,0.35
BEN,23,204,204,Benin,2,444,-,-,10.5,6.2,1.3
DNK,23,208,208,Denmark,2,112,-,-,1.6,3.7,0.16
DOM,23,214,214,Dominican Republic,2,626,-,-,9.2,10.9,1.1
ECU,23,218,218,Ecuador,2,991,-,-,9.0,10.9,0.92
SLV,23,222,222,El Salvador,2,462,-,-,11.2,13.9,1.1
GNQ,23,226,226,Equatorial Guinea,2,62,-,-,9.8,6.9,1.1
ETH,23,231,231,Ethiopia,2,5007,-,-,12.6,7.6,1.5
ERI,23,232,232,Eritrea,2,125,-,-,10.2,7.0,1.2
EST,23,233,233,Estonia,2,65,-,-,4.1,9.1,0.47
FJI,23,242,242,Fiji,2,114,-,-,22.9,24.4,2.5
FIN,23,246,246,Finland,2,66,-,-,1.2,2.3,0.13
FRA,23,250,250,France (metropolitan),2,1432,-,-,2.1,4.2,0.22
GUF,23,254,254,French Guyana,2,11,-,-,6.6,6.9,0.69
PYF,23,258,258,French Polynesia,2,9,-,-,4.5,6.5,0.54
DJI,23,262,262,Djibouti,2,50,-,-,9.5,8.5,1.1
GAB,23,266,266,Gabon,2,88,-,-,9.6,7.0,1.1
GEO,23,268,268,Georgia,2,214,-,-,5.6,10.5,0.61
GMB,23,270,270,The Republic of the Gambia,2,264,-,-,29.6,19.1,3.3
PSE,23,275,275,Gaza Strip and West Bank,2,24,-,-,1.2,0.87,0.13
DEU,23,276,276,Germany,2,2213,-,-,2.4,5.2,0.27
GHA,23,288,288,Ghana,2,2324,-,-,19.2,13.5,2.2
GRC,23,300,300,Greece,2,224,-,-,1.8,4.3,0.19
GLP,23,312,312,"France, Guadeloupe",2,14,-,-,3.0,6.8,0.29
GUM,23,316,316,Guam,2,8,-,-,6.3,9.7,0.71
GTM,23,320,320,Guatemala,2,1108,-,-,15.0,11.9,1.6
GIN,23,324,324,Guinea,2,809,-,-,18.0,10.9,2.2
GUY,23,328,328,Guyana,2,76,-,-,16.9,17.8,1.9
HTI,23,332,332,Haiti,2,659,-,-,13.0,11.1,1.4
HND,23,340,340,Honduras,2,495,-,-,10.6,9.2,1.1
HUN,23,348,348,Hungary,2,471,-,-,4.8,9.4,0.54
ISL,23,352,352,Iceland,2,4,-,-,1.3,2.1,0.14
IND,23,356,356,India,2,36319,-,-,4.9,5.2,0.57
IDN,23,360,360,Indonesia,2,15612,-,-,9.3,11.1,1.1
IRN,23,364,364,"Iran, Islamic Republic of",2,761,-,-,1.4,1.7,0.15
IRQ,23,368,368,Iraq,2,303,-,-,1.9,1.3,0.22
IRL,23,372,372,Ireland,2,97,-,-,2.2,3.7,0.25
ISR,23,376,376,Israel,2,116,-,-,1.7,2.5,0.19
