entity,code,year,tobacco_use_pct_age_std__sex_female
Afghanistan,AFG,2000,18.6
Afghanistan,AFG,2005,14.7
Afghanistan,AFG,2007,13.3
Afghanistan,AFG,2010,11.6
Afghanistan,AFG,2015,9.2
Afghanistan,AFG,2020,7.4
Afghanistan,AFG,2022,6.8
Africa,OWID_AFR,2000,6.3317595
Africa,OWID_AFR,2005,4.940004
Africa,OWID_AFR,2007,4.4825335
Africa,OWID_AFR,2010,3.908953
Africa,OWID_AFR,2015,3.1309917
Africa,OWID_AFR,2020,2.5701656
Africa,OWID_AFR,2022,2.3831792
Albania,ALB,2000,10.5
Albania,ALB,2005,9.4
Albania,ALB,2007,9
Albania,ALB,2010,8.3
Albania,ALB,2015,7.4
Albania,ALB,2020,6.6
Albania,ALB,2022,6.4
Algeria,DZA,2000,2
Algeria,DZA,2005,1.5
Algeria,DZA,2007,1.4
Algeria,DZA,2010,1.2
Algeria,DZA,2015,0.9
Algeria,DZA,2020,0.7
Algeria,DZA,2022,0.6
Andorra,AND,2000,28.8
Andorra,AND,2005,30
Andorra,AND,2007,30.7
Andorra,AND,2010,31.6
Andorra,AND,2015,33.2
Andorra,AND,2020,34.9
Andorra,AND,2022,35.7
Argentina,ARG,2000,26.6
Argentina,ARG,2005,25.1
Argentina,ARG,2007,24.5
Argentina,ARG,2010,23.6
Argentina,ARG,2015,22.3
Argentina,ARG,2020,20.8
Argentina,ARG,2022,20.4
Armenia,ARM,2000,2.4
Armenia,ARM,2005,2.3
Armenia,ARM,2007,2.2
Armenia,ARM,2010,2.1
Armenia,ARM,2015,2
Armenia,ARM,2020,1.9
Armenia,ARM,2022,1.8
Asia,OWID_ASI,2000,17.777514
Asia,OWID_ASI,2005,14.006974
Asia,OWID_ASI,2007,12.736594
Asia,OWID_ASI,2010,10.9692545
Asia,OWID_ASI,2015,8.695821
Asia,OWID_ASI,2020,6.879903
Asia,OWID_ASI,2022,6.3189006
Australia,AUS,2000,22.7
Australia,AUS,2005,19.1
Australia,AUS,2007,17.8
Australia,AUS,2010,16.1
Australia,AUS,2015,13.5
Australia,AUS,2020,11.4
Australia,AUS,2022,10.6
Austria,AUT,2000,45.9
Austria,AUT,2005,39.6
Austria,AUT,2007,37.6
Austria,AUT,2010,34.6
Austria,AUT,2015,30.1
Austria,AUT,2020,26.3
Austria,AUT,2022,24.9
Azerbaijan,AZE,2000,0.3
Azerbaijan,AZE,2005,0.3
Azerbaijan,AZE,2007,0.2
Azerbaijan,AZE,2010,0.2
Azerbaijan,AZE,2015,0.2
Azerbaijan,AZE,2020,0.1
Azerbaijan,AZE,2022,0.1
Bahamas,BHS,2000,5.4
Bahamas,BHS,2005,4.9
Bahamas,BHS,2007,4.6
Bahamas,BHS,2010,4.4
Bahamas,BHS,2015,4
Bahamas,BHS,2020,3.6
Bahamas,BHS,2022,3.5
Bahrain,BHR,2000,6.7
Bahrain,BHR,2005,6.4
Bahrain,BHR,2007,6.3
Bahrain,BHR,2010,6.2
Bahrain,BHR,2015,6.1
Bahrain,BHR,2020,6
Bahrain,BHR,2022,5.9
Bangladesh,BGD,2000,48.2
Bangladesh,BGD,2005,38.2
Bangladesh,BGD,2007,34.4
Bangladesh,BGD,2010,29.2
Bangladesh,BGD,2015,22.6
Bangladesh,BGD,2020,17.4
Bangladesh,BGD,2022,15.7
Belarus,BLR,2000,15.4
Belarus,BLR,2005,15
Belarus,BLR,2007,14.9
Belarus,BLR,2010,14.8
Belarus,BLR,2015,14.4
Belarus,BLR,2020,14.1
Belarus,BLR,2022,14.1
Belgium,BEL,2000,23.3
Belgium,BEL,2005,22.8
Belgium,BEL,2007,22.6
Belgium,BEL,2010,22.2
Belgium,BEL,2015,21.6
Belgium,BEL,2020,21.1
Belgium,BEL,2022,20.9
Belize,BLZ,2000,3
Belize,BLZ,2005,2.7
Belize,BLZ,2007,2.6
Belize,BLZ,2010,2.5
Belize,BLZ,2015,2.3
Belize,BLZ,2020,2.1
Belize,BLZ,2022,2
Benin,BEN,2000,5.4
Benin,BEN,2005,4.2
Benin,BEN,2007,3.8
Benin,BEN,2010,3.2
Benin,BEN,2015,2.5
Benin,BEN,2020,2
Benin,BEN,2022,1.8
Bhutan,BTN,2000,29.8
Bhutan,BTN,2005,24
Bhutan,BTN,2007,22
Bhutan,BTN,2010,19.4
Bhutan,BTN,2015,15.8
Bhutan,BTN,2020,12.8
Bhutan,BTN,2022,11.9
Bolivia,BOL,2000,26.4
Bolivia,BOL,2005,17.7
Bolivia,BOL,2007,15.1
Bolivia,BOL,2010,11.9
Bolivia,BOL,2015,8.1
Bolivia,BOL,2020,5.5
Bolivia,BOL,2022,4.8
Bosnia and Herzegovina,BIH,2000,34.2
Bosnia and Herzegovina,BIH,2005,33.6
Bosnia and Herzegovina,BIH,2007,33.2
Bosnia and Herzegovina,BIH,2010,32.6
Bosnia and Herzegovina,BIH,2015,32
Bosnia and Herzegovina,BIH,2020,31.5
Bosnia and Herzegovina,BIH,2022,31.2
Botswana,BWA,2000,27.4
Botswana,BWA,2005,20.2
Botswana,BWA,2007,18
Botswana,BWA,2010,15
Botswana,BWA,2015,11.2
Botswana,BWA,2020,8.4
Botswana,BWA,2022,7.4
Brazil,BRA,2000,17.9
Brazil,BRA,2005,15.2
Brazil,BRA,2007,14.3
Brazil,BRA,2010,13
Brazil,BRA,2015,11.1
Brazil,BRA,2020,9.5
Brazil,BRA,2022,8.9
Brunei,BRN,2000,5.1
Brunei,BRN,2005,4.2
Brunei,BRN,2007,3.9
Brunei,BRN,2010,3.5
Brunei,BRN,2015,2.9
Brunei,BRN,2020,2.4
Brunei,BRN,2022,2.3
Bulgaria,BGR,2000,31.9
Bulgaria,BGR,2005,32.7
Bulgaria,BGR,2007,33.4
Bulgaria,BGR,2010,33.8
Bulgaria,BGR,2015,34.8
Bulgaria,BGR,2020,36
Bulgaria,BGR,2022,36.4
Burkina Faso,BFA,2000,25
Burkina Faso,BFA,2005,17.2
Burkina Faso,BFA,2007,14.9
Burkina Faso,BFA,2010,12
Burkina Faso,BFA,2015,8.4
Burkina Faso,BFA,2020,5.9
Burkina Faso,BFA,2022,5.1
Burundi,BDI,2000,19.8
Burundi,BDI,2005,14.5
Burundi,BDI,2007,12.9
Burundi,BDI,2010,10.7
Burundi,BDI,2015,7.9
Burundi,BDI,2020,5.9
Burundi,BDI,2022,5.3
Cambodia,KHM,2000,19.2
Cambodia,KHM,2005,14.7
Cambodia,KHM,2007,13.3
Cambodia,KHM,2010,11.4
Cambodia,KHM,2015,8.7
Cambodia,KHM,2020,6.8
Cambodia,KHM,2022,6.1
Cameroon,CMR,2000,3.8
Cameroon,CMR,2005,3
Cameroon,CMR,2007,2.7
Cameroon,CMR,2010,2.4
Cameroon,CMR,2015,1.9
Cameroon,CMR,2020,1.6
Cameroon,CMR,2022,1.5
Canada,CAN,2000,27.1
Canada,CAN,2005,21.4
Canada,CAN,2007,19.5
Canada,CAN,2010,16.8
Canada,CAN,2015,13.3
Canada,CAN,2020,10.5
Canada,CAN,2022,9.5
Cape Verde,CPV,2000,12.7
Cape Verde,CPV,2005,10.3
Cape Verde,CPV,2007,9.6
Cape Verde,CPV,2010,8.5
Cape Verde,CPV,2015,6.9
Cape Verde,CPV,2020,5.7
