entity,code,year,coverage__antigen_description_hpv_vaccination_coverage_by_age_15__last_dose__females
Africa (WHO),WHO_AFR,2010,0
Africa (WHO),WHO_AFR,2011,0
Africa (WHO),WHO_AFR,2012,0
Africa (WHO),WHO_AFR,2013,0
Africa (WHO),WHO_AFR,2014,0
Africa (WHO),WHO_AFR,2015,1
Africa (WHO),WHO_AFR,2016,1
Africa (WHO),WHO_AFR,2017,1
Africa (WHO),WHO_AFR,2018,1
Africa (WHO),WHO_AFR,2019,4
Africa (WHO),WHO_AFR,2020,11
Africa (WHO),WHO_AFR,2021,12
Africa (WHO),WHO_AFR,2022,14
Africa (WHO),WHO_AFR,2023,14
Africa (WHO),WHO_AFR,2024,22
Albania,ALB,2024,18
Americas (WHO),WHO_AMR,2010,8
Americas (WHO),WHO_AMR,2011,10
Americas (WHO),WHO_AMR,2012,9
Americas (WHO),WHO_AMR,2013,12
Americas (WHO),WHO_AMR,2014,18
Americas (WHO),WHO_AMR,2015,20
Americas (WHO),WHO_AMR,2016,42
Americas (WHO),WHO_AMR,2017,56
Americas (WHO),WHO_AMR,2018,55
Americas (WHO),WHO_AMR,2019,59
Americas (WHO),WHO_AMR,2020,61
Americas (WHO),WHO_AMR,2021,64
Americas (WHO),WHO_AMR,2022,66
Americas (WHO),WHO_AMR,2023,67
Americas (WHO),WHO_AMR,2024,68
Andorra,AND,2021,49
Andorra,AND,2022,64
Andorra,AND,2023,77
Andorra,AND,2024,83
Argentina,ARG,2016,43
Argentina,ARG,2017,60
Argentina,ARG,2018,60
Argentina,ARG,2019,60
Argentina,ARG,2020,72
Argentina,ARG,2021,63
Argentina,ARG,2022,71
Argentina,ARG,2023,70
Argentina,ARG,2024,67
Armenia,ARM,2020,2
Armenia,ARM,2021,16
Armenia,ARM,2022,8
Armenia,ARM,2023,14
Armenia,ARM,2024,41
Australia,AUS,2012,72
Australia,AUS,2013,72
Australia,AUS,2014,75
Australia,AUS,2015,79
Australia,AUS,2016,80
Australia,AUS,2017,80
Australia,AUS,2018,77
Australia,AUS,2019,80
Australia,AUS,2020,80
Australia,AUS,2021,80
Australia,AUS,2022,80
Australia,AUS,2023,86
Australia,AUS,2024,83
Austria,AUT,2015,2
Austria,AUT,2016,5
Austria,AUT,2017,12
Austria,AUT,2018,19
Austria,AUT,2019,37
Austria,AUT,2020,51
Austria,AUT,2021,54
Austria,AUT,2022,57
Austria,AUT,2023,65
Austria,AUT,2024,63
Bahamas,BHS,2018,6
Bahamas,BHS,2019,9
Bahamas,BHS,2020,11
Bahamas,BHS,2021,27
Bahamas,BHS,2022,9
Bahamas,BHS,2023,7
Bahamas,BHS,2024,3
Bangladesh,BGD,2024,15
Barbados,BRB,2018,8
Barbados,BRB,2019,31
Barbados,BRB,2020,16
Barbados,BRB,2021,16
Barbados,BRB,2022,27
Barbados,BRB,2023,29
Barbados,BRB,2024,7
Belgium,BEL,2012,59
Belgium,BEL,2013,61
Belgium,BEL,2014,62
Belgium,BEL,2015,64
Belgium,BEL,2016,65
Belgium,BEL,2017,66
Belgium,BEL,2018,67
Belgium,BEL,2019,68
Belgium,BEL,2020,69
Belgium,BEL,2021,69
Belgium,BEL,2022,69
Belgium,BEL,2023,72
Belgium,BEL,2024,72
Belize,BLZ,2021,25
Belize,BLZ,2022,59
Belize,BLZ,2023,60
Belize,BLZ,2024,67
Bhutan,BTN,2011,90
Bhutan,BTN,2012,90
Bhutan,BTN,2013,97
Bhutan,BTN,2014,75
Bhutan,BTN,2015,77
Bhutan,BTN,2016,68
Bhutan,BTN,2017,94
Bhutan,BTN,2018,94
Bhutan,BTN,2019,96
Bhutan,BTN,2020,94
Bhutan,BTN,2021,95
Bhutan,BTN,2022,75
Bhutan,BTN,2023,85
Bhutan,BTN,2024,92
Bolivia,BOL,2020,69
Bolivia,BOL,2021,73
Bolivia,BOL,2022,70
Bolivia,BOL,2023,69
Bolivia,BOL,2024,69
Bosnia and Herzegovina,BIH,2024,5
Botswana,BWA,2016,17
Botswana,BWA,2017,44
Botswana,BWA,2018,73
Botswana,BWA,2019,80
Botswana,BWA,2020,78
Botswana,BWA,2021,69
Botswana,BWA,2022,22
Botswana,BWA,2023,28
Botswana,BWA,2024,16
Brazil,BRA,2016,68
Brazil,BRA,2017,77
Brazil,BRA,2018,64
Brazil,BRA,2019,67
Brazil,BRA,2020,68
Brazil,BRA,2021,65
Brazil,BRA,2022,72
Brazil,BRA,2023,76
Brazil,BRA,2024,75
Brunei,BRN,2018,85
Brunei,BRN,2019,86
Brunei,BRN,2020,88
Brunei,BRN,2021,90
